Sl. No.,School code,School name,School type,Level Name,Category,Sub District,Name Of HM,Number Of HM,Name Of SITC/PSITC,Number Of SITC/PSITC
1,16007,GHSS CHORODE ,Government,8 - 12,"HS, HSS",Chombala,,,,
2,16011,G V H S S Madapally ,Government,1 - 12,"LP, UP, HS, HSS",Chombala,,,,
3,16012,GOVT HIGHER SECONDARY SCHOOLMADAPPALLI ,Government,5 - 12,"UP, HS, HSS",Chombala,,,,
4,16013,GHSS AZHIYOOR ,Government,5 - 10,"UP, HS",Chombala,,,,
5,16038,KKM GVHSS ORKKATTERI ,Government,8 - 12,"HS, HSS",Chombala,,,,
6,16085,Govt. Model Residential School Kozhikode ,Government,5 - 10,"UP, HS",Chombala,,,,
7,16204,GLPS MUTTUNGAL ,Government,1 - 4,LP,Chombala,,,,
8,16211,GJBS AZHIYOOR ,Government,1 - 4,LP,Chombala,,,,
9,16212,GMJBS AZHIYOOR ,Government,1 - 4,LP,Chombala,,,,
10,16215,GMJBS ONCHIYAM ,Government,1 - 4,LP,Chombala,,,,
11,16221,GFLPS MADAKKARA ,Government,1 - 4,LP,Chombala,,,,
12,16243,GFLPS MADAPPALLI ,Government,1 - 5,"LP, UP",Chombala,,,,
13,16265,GUPS ONCHIYAM ,Government,5 -7,UP,Chombala,,,,
14,16032,KADATHANAD RAJAS HS PURAMERI ,Aided,5 - 12,"UP, HS, HSS",Chombala,,,,
15,16201,MUTTUNGAL LPS ,Aided,1 - 4,LP,Chombala,,,,
16,16202,MUTTUNGAL VD LPS ,Aided,1 - 4,LP,Chombala,,,,
17,16203,VAIKKILASSERI MLPS ,Aided,1 - 4,LP,Chombala,,,,
18,16205,VARISSIAKKUNI MLPS ,Aided,1 - 4,LP,Chombala,,,,
19,16206,KARAKKAD LPS ,Aided,1 - 4,LP,Chombala,,,,
20,16207,SREE NARAYANA LPS CHOMBALA ,Aided,1 - 4,LP,Chombala,,,,
21,16209,ANJAMPEEDIKA MLPS AZHIYOOR ,Aided,1 - 4,LP,Chombala,,,,
22,16210,CHOMBALA NORTH LPS ,Aided,1 - 4,LP,Chombala,,,,
23,16213,CHOMBALA MLPS ,Aided,1 - 4,LP,Chombala,,,,
24,16214,CHALIL KANNOKKARA LPS ,Aided,1 - 4,LP,Chombala,,,,
25,16216,KARAKKAD M L P S ,Aided,1 - 4,LP,Chombala,,,,
26,16217,URALUNGAL LPS ,Aided,1 - 4,LP,Chombala,,,,
27,16218,ONCHIYAM DHARMA LPS ,Aided,1 - 4,LP,Chombala,,,,
28,16219,KANNOOKKARA LPS ,Aided,1 - 4,LP,Chombala,,,,
29,16220,URALUNGAL GNANODAYAM LPS ,Aided,1 - 4,LP,Chombala,,,,
30,16222,KARAKKAD A V S L P S ,Aided,1 - 4,LP,Chombala,,,,
31,16223,PURAMERI KVLPS ,Aided,1 - 4,LP,Chombala,,,,
32,16224,VILATHAPURAM MLPS ,Aided,1 - 4,LP,Chombala,,,,
33,16225,KUNINGAD MLPS ,Aided,1 - 4,LP,Chombala,,,,
34,16226,VILATHAPURAM LPS ,Aided,1 - 4,LP,Chombala,,,,
35,16227,PURAMERI VVLPS ,Aided,1 - 4,LP,Chombala,,,,
36,16228,PURAMERI SVLPS ,Aided,1 - 4,LP,Chombala,,,,
37,16229,MUTHUVADATHUR MLPS ,Aided,1 - 4,LP,Chombala,,,,
38,16230,PUTHIYANGADI MLPS ,Aided,1 - 4,LP,Chombala,,,,
39,16231,EDACHERI MLPS ,Aided,1 - 4,LP,Chombala,,,,
40,16232,EDACHERI CENTRAL LPS ,Aided,1 - 4,LP,Chombala,,,,
41,16233,THURUTHI LPS ,Aided,1 - 4,LP,Chombala,,,,
42,16234,NELLACHERI LPS ,Aided,1 - 4,LP,Chombala,,,,
43,16235,ERAMALA CENTRAL LPS ,Aided,1 - 4,LP,Chombala,,,,
44,16236,MARANKANDY MLPS ,Aided,1 - 4,LP,Chombala,,,,
45,16237,KUNNUMMAKKARA MLPS ,Aided,1 - 4,LP,Chombala,,,,
46,16238,AZHIYOOR CENTRAL LPS ,Aided,1 - 5,"LP, UP",Chombala,,,,
47,16239,CHOMBALA LPS ,Aided,1 - 5,"LP, UP",Chombala,,,,
48,16240,ONCHIYAM LPS ,Aided,1 - 5,"LP, UP",Chombala,,,,
49,16241,VELLIKKULANGARA LPS ,Aided,1 - 5,"LP, UP",Chombala,,,,
50,16242,URALUNGAL VIDYAVILASAM LPS ,Aided,1 - 5,"LP, UP",Chombala,,,,
51,16244,KUNINGAD LPS ,Aided,1 - 5,"LP, UP",Chombala,,,,
52,16245,PURAMERI LPS ,Aided,1 - 5,"LP, UP",Chombala,,,,
53,16246,MUTHUVADATHUR VVLPS ,Aided,1 - 5,"LP, UP",Chombala,,,,
54,16247,ORKKATTERI LPS ,Aided,1 - 5,"LP, UP",Chombala,,,,
55,16248,THATTOLIKKARA EAST LPS ,Aided,1 - 5,"LP, UP",Chombala,,,,
56,16249,KUNNUMMAKKARA LPS ,Aided,1 - 5,"LP, UP",Chombala,,,,
57,16250,ATHIYOOR LPS ,Aided,1 - 5,"LP, UP",Chombala,,,,
58,16251,KURIKKILAD UPS ,Aided,1 - 7,"LP, UP",Chombala,,,,
59,16252,VARISSIAKKUNI UPS ,Aided,1 - 7,"LP, UP",Chombala,,,,
60,16253,MUTTUNGAL SOUTH UPS ,Aided,1 - 7,"LP, UP",Chombala,,,,
61,16254,VAIKKILASSERY UPS ,Aided,1 - 7,"LP, UP",Chombala,,,,
62,16255,AZHIYOOR EAST UPS ,Aided,1 - 7,"LP, UP",Chombala,,,,
63,16256,BEMUPS CHOMBALA ,Aided,1 - 7,"LP, UP",Chombala,,,,
64,16257,KALLAMALA UPS ,Aided,1 - 7,"LP, UP",Chombala,,,,
65,16258,PANADEMMAL MUPS ,Aided,1 - 7,"LP, UP",Chombala,,,,
66,16259,NARIKKUNNU UPS ,Aided,1 - 7,"LP, UP",Chombala,,,,
67,16260,EDACHERI NORTH UPS ,Aided,1 - 7,"LP, UP",Chombala,,,,
68,16261,ERAMALA UPS ,Aided,1 - 7,"LP, UP",Chombala,,,,
69,16262,ORKKATTERI NORTH UPS ,Aided,1 - 7,"LP, UP",Chombala,,,,
